status=conditional zeros=300 gamma_last=541.847437121
a,basis,dimension,lambda1,lambda2,lambda4,condition
0.3,dirichlet,2,0.0118019461275,0.30038174138,0.30038174138,25.4518820994
0.3,dirichlet,4,0.0113289044864,0.274207607132,1.1156865261,98.4814134011
0.3,dirichlet,8,0.0101107239807,0.254175499815,1.09785791242,183.783486511
0.3,dirichlet,12,0.00944759094093,0.24553549901,1.09080799918,241.139188122
0.3,dirichlet,16,0.00905512705712,0.240662657406,1.08681331358,284.111751392
0.3,dirichlet,24,0.00861636833692,0.235312500709,1.08234762236,346.376813589
0.3,periodic,2,0.0154399666317,0.869726319275,0.869726319275,56.3295465605
0.3,periodic,4,0.00972540202043,0.30038174138,1.38552968504,142.465029428
0.3,periodic,8,0.00786127255187,0.261673196055,1.1041220744,251.818034684
0.3,periodic,12,0.00750812934318,0.249150786432,1.09375320891,312.297490877
0.3,periodic,16,0.00739471739016,0.242803373486,1.08857404203,352.990922678
0.3,periodic,24,0.00732714033125,0.236326449013,1.08320299267,408.858769339
0.5,dirichlet,2,0.00322288860004,0.0164881439637,0.0164881439637,5.11595218136
0.5,dirichlet,4,9.71158209366e-05,0.00171049763334,0.763477961125,7861.51992293
0.5,dirichlet,8,3.37713867541e-06,0.000276933775077,0.44783370365,453875.507972
0.5,dirichlet,12,1.29023926603e-06,0.000254342773431,0.440432396462,1511098.1155
0.5,dirichlet,16,1.09778958301e-06,0.000250642630291,0.416198823357,2189993.85001
0.5,dirichlet,24,1.07832903916e-06,0.000243935622028,0.402589698498,2657314.09634
0.5,periodic,2,0.000464675290349,0.27461642102,0.27461642102,590.98563389
0.5,periodic,4,2.65794076847e-05,0.0164881439637,1.28663605981,48407.2510221
0.5,periodic,8,1.43912140532e-06,0.000298920368267,0.588933010427,1038852.50515
0.5,periodic,12,1.4310734072e-06,0.000264680438209,0.443122407404,1494394.89102
0.5,periodic,16,1.19507113885e-06,0.000251770374285,0.421983986667,2016179.38997
0.5,periodic,24,1.01992866975e-06,0.000244121243543,0.403433824536,2844458.09451
1.0,dirichlet,2,0.000125330249693,0.0026637637218,0.0026637637218,21.2539568726
1.0,dirichlet,4,2.17384562421e-08,4.30589713079e-06,0.0170614861079,784852.701492
1.0,dirichlet,8,1.41576535481e-12,1.37866300369e-10,1.80386876008e-06,574198655454
1.0,dirichlet,12,1.76438495443e-15,6.18058711183e-14,5.02191530972e-10,1.14667004969e+15
1.0,dirichlet,16,-1.63715814066e-17,1.84997160895e-17,7.33510214913e-12,1.1266580558e+308
1.0,dirichlet,24,-6.89161067169e-17,1.04917994879e-17,7.02176526148e-16,1.19085318117e+308
1.0,periodic,2,1.65397088825e-05,0.155574872177,0.155574872177,9406.14331738
1.0,periodic,4,2.18679394149e-08,0.000481365197476,0.281594901193,12877066.0943
1.0,periodic,8,2.31269399511e-13,2.11702405094e-08,9.48331683694e-05,6.085701239e+12
1.0,periodic,12,1.72346452105e-16,8.16857248152e-13,2.27931916975e-08,1.14593743185e+16
1.0,periodic,16,2.35713741611e-16,3.78218186016e-15,6.51421147173e-11,1.03565315104e+16
1.0,periodic,24,-4.5694262584e-16,1.42675778884e-16,4.12245799347e-15,1.18951451865e+308
