a=1.0 bound=0.0 zmax=2500.0 bands=42 positive_halfline_width=37.3269136915 minimum=-2.38480091403
left,right,min_location,min_value
0,0.488956514884,4.2971931654e-06,-1.82304223414
2.00034322981,3.63077158858,2.78514420306,-0.498697138852
5.22232520553,6.78446590332,6.01159600788,-0.447981177889
8.32187611651,9.83221697494,9.10437294717,-0.533422479183
11.3081810197,12.7415637916,12.1190368967,-1.00354686424
15.5114318605,16.9000518794,16.1477510134,-1.28756142305
18.3037192992,19.6947614284,19.0644787211,-1.36691344512
22.270516885,23.5636781482,22.9042716565,-1.59249124208
26.7106189504,28.6975217125,27.7963341715,-0.771076899052
34.5911903377,36.1113354675,35.3680691834,-2.38480091403
38.6718658986,39.4064335698,39.0327593411,-0.500099335893
44.9151232675,46.3804728065,45.6177982495,-1.33626980323
51.0404954963,51.5914680744,51.3185640403,-0.257122900929
54.314949132,55.309675088,54.8154317988,-1.06429438108
57.8863533793,58.5596158399,58.2260707338,-0.535346166943
61.8773655011,62.8983394619,62.3130756762,-0.435140167948
73.5125128521,74.715327762,74.1300590674,-1.66968869695
80.5913568729,81.5852889796,81.0799144259,-0.827721192077
89.7871102946,91.0117197524,90.3844848068,-1.73383635469
97.0667354937,97.3156156579,97.1900331527,-0.0597448649928
108.664341518,109.968755153,109.353991152,-1.92652919068
125.359654117,126.192193264,125.772532615,-0.655709034421
135.743480155,136.650776178,136.176331676,-0.7272556933
148.320108946,148.7618461,148.540934423,-0.24830340391
170.974338246,172.153375399,171.541858355,-1.62344226251
199.28768826,200.252978236,199.781408543,-0.956682099251
222.632699958,222.752670204,222.692674232,-0.0197721152986
245.055062893,246.022060049,245.537009019,-1.17388641335
280.358133906,281.442859905,280.90593363,-1.64846541072
335.650432883,336.036214311,335.842517987,-0.194209341604
370.833828774,371.765681846,371.295041645,-1.17299628645
416.947896976,417.193318839,417.069429138,-0.0587641472636
452.319838407,452.512208967,452.415611701,-0.0424158669975
480.299906413,480.960987245,480.637427427,-0.500881704604
526.157576114,526.663753471,526.411777511,-0.321829296164
616.499878365,617.126749079,616.811326387,-0.558732735698
651.796069394,652.578045883,652.186937836,-0.887870025599
897.378867493,898.062246008,897.71997288,-0.695586371889
933.028608069,933.155365285,933.092039968,-0.0230782527651
1178.45267463,1178.77046526,1178.6119056,-0.146135817174
1268.85497332,1269.15547973,1269.00471251,-0.134851035515
1549.68357843,1550.13331124,1549.90812219,-0.314095057816
