t amplitude
0 2.01158359070074999e+00
0.5 2.00000000000000000e+00
1 1.96567522694041563e+00
2 1.83454527150705626e+00
4 1.39628320971326136e+00
8 4.89665836392320697e-01
16 1.17932329752379727e-02
24 5.79891401150235163e-05
32 9.00636481750003407e-08
40 5.70104874351774282e-11
48 1.73234378019472197e-14
max_abs_grid_difference [4.44089210e-16 5.73976630e-16 5.69849380e-15 5.68434189e-14
 7.24581486e+05]
x L Lprime Lsecond qnum q
0 3.82084421807124786e+00 -0.00000000000000000e+00 -9.03914713974648976e+01 3.45371730851956329e+02 2.36574605606648589e+01
0.25 1.85091536418304781e+00 -1.05208423504729733e+01 2.10459135334459013e+01 7.17339190511827098e+01 2.09387830656389795e+01
0.5 2.47660937615295895e-01 -2.50621604670638432e+00 2.18679383216528613e+01 8.65284764314569799e-01 1.41073042008575502e+01
0.75 1.37588537128515657e-02 -1.74663672197490877e-01 2.12429397024357280e+00 1.27954840583857296e-03 6.75915201188594050e+00
1 4.93155516227920007e-04 -6.77872902877274877e-03 9.20797732913464645e-02 5.41519113882529563e-07 2.22661945709927078e+00
1.25 1.51471435178408483e-05 -2.12811221101760794e-04 2.98170012515894863e-03 1.24376103875901105e-10 5.42095082382348603e-01
1.5 4.46941163782712217e-07 -6.30998131402271861e-06 8.90357557606457468e-05 2.21198853795401160e-14 1.10734299123880553e-01
1.75 1.30756560700235721e-08 -1.84780726703253608e-07 2.61097927016565386e-06 3.65001833525338804e-18 2.13485345432287664e-02
2 3.81915628298527254e-10 -5.39799231252750872e-09 7.62897322491035729e-08 2.07998146327394913e-21 1.42601667431248164e-02
2.25 1.11530074471026457e-11 -1.57545151397610974e-10 2.22437874542612108e-09 1.19620159817946234e-23 9.61657435578772840e-02
2.5 3.26043456820405018e-13 -4.50651685006178557e-12 6.39586638580046985e-11 -5.44609737987357078e-25 -5.12311877234187119e+00
2.75 8.86128005698222630e-15 -4.86578966331991586e-14 3.18349393364570958e-12 -2.58422404009715301e-26 -3.29107089132351348e+02
3 -9.77827085983593081e-16 5.19767378013013903e-14 3.04373809700571062e-12 5.67783082635757415e-27 5.93824787650716098e+03
3.25 -1.66274822126820472e-15 1.36663596188460171e-14 3.66994265460695609e-12 6.28896000633565430e-27 2.27470901648187464e+03
3.5 -1.36271354523947269e-15 -2.58878204407500444e-14 3.26732087578940006e-12 5.12260166125442769e-27 2.75855368583238624e+03
3.75 -9.05996280860642523e-16 -5.38944058970863612e-14 2.02292388705010932e-12 4.73736850513145021e-27 5.77144204111932959e+03
4 -1.50057511239560112e-16 -6.37702145166945546e-14 3.53746150853135708e-13 4.11972252651283639e-27 1.82958456492607336e+05
4.25 4.84348893981483515e-16 -5.46016315305415028e-14 -1.23195279245824864e-12 3.57803313826157698e-27 1.52520329133426640e+04
4.5 1.03508175083509992e-15 -3.12040765224561660e-14 -2.30745266446826309e-12 3.36209653552622604e-27 3.13805734483446849e+03
4.75 1.14154888616837852e-15 -1.48006573726763351e-15 -2.61666525189477158e-12 2.98924189836260982e-27 2.29388706044474793e+03
5 8.32463910474603578e-16 2.65446208576366872e-14 -2.14651770194547338e-12 2.49151541654016903e-27 3.59528025159208119e+03
5.25 4.60208964733706716e-16 4.40624506666809397e-14 -1.10029915658395275e-12 2.44786709450256323e-27 1.15578668155827854e+04
5.5 -9.65007378433808160e-17 4.71150377183824463e-14 1.70567391094222729e-13 2.23628665829721367e-27 2.40140939213487902e+05
5.75 -5.21441048498393660e-16 3.62144164601175540e-14 1.29103490874422663e-12 1.98468255601045075e-27 7.29929002215368018e+03
6 -7.96683047774684428e-16 1.59603553895877852e-14 1.94203316010063436e-12 1.80191784103041904e-27 2.83898980572197843e+03
6.25 -8.35224269397674142e-16 -7.78914079766670963e-15 1.97330419703130137e-12 1.70882227063070878e-27 2.44957468317732855e+03
6.5 -6.38566086551882924e-16 -2.75527412516062662e-14 1.42409059772712859e-12 1.66852951036390993e-27 4.09187343563409195e+03
6.75 -2.50686856828521017e-16 -3.72833380867520862e-14 4.92968581968430856e-13 1.51362804321993769e-27 2.40855204518889041e+04
7 3.02460168202197788e-16 -3.55331109151004128e-14 -5.23018473642490748e-13 1.42079422681559261e-27 1.55308349749579756e+04
7.25 5.96453222552070115e-16 -2.36486500680208622e-14 -1.31164611787530108e-12 1.34159420389433890e-27 3.77110300141099879e+03
7.5 7.44386405997639855e-16 -5.23238517225921943e-15 -1.65980780001819688e-12 1.26291621749327318e-27 2.27917500414853021e+03
7.75 6.09525967496785789e-16 1.35661045043749722e-14 -1.49046341778683991e-12 1.09251534816871253e-27 2.94064854133748486e+03
8 4.02274590481432087e-16 2.72512123472954804e-14 -8.90062559510501524e-13 1.10067812602733181e-27 6.80166335537535906e+03
8.25 1.27992599005478235e-16 3.18444927343186699e-14 -5.73374370299851829e-14 1.02141048509185536e-27 6.23491584348377073e+04
8.5 -2.94005861250521461e-16 2.62603001138949640e-14 7.44731227079285984e-13 9.08558707889434975e-28 1.05109269576193528e+04
8.75 -4.90944582625268952e-16 1.42423692532966139e-14 1.27703536048418925e-12 8.29798673997868868e-28 3.44276827455993771e+03
9 -5.30552147239149850e-16 -2.56116012075494853e-15 1.39750121580805677e-12 7.48006811980432560e-28 2.65735392016289825e+03
9.25 -4.40695696857280930e-16 -1.74992023742643056e-14 1.09000093742099611e-12 7.86580806427292826e-28 4.05009980115638882e+03
9.5 -2.54380906213653814e-16 -2.64209509541135690e-14 4.72914522086244719e-13 8.18367074009570660e-28 1.26467556477571343e+04
9.75 8.54996775905134618e-17 -2.62617582132362393e-14 -2.58207202620698231e-13 7.11756577026099139e-28 9.73649252681097714e+04
10 3.58412843090869313e-16 -1.89366489031233022e-14 -8.75268907916908723e-13 6.72304289435700488e-28 5.23357865179124292e+03
10.25 5.46002122563306196e-16 -5.89553996881952049e-15 -1.19666023126627967e-12 6.88136417782434003e-28 2.30826613661279498e+03
10.5 4.84114055866422549e-16 8.08762408619364862e-15 -1.14295489512638097e-12 6.18730193311593544e-28 2.64001214730663651e+03
10.75 2.99915302233733962e-16 1.90522852400834397e-14 -7.43890947723987924e-13 5.86093851285079960e-28 6.51583256022561181e+03
11 9.25378362261340029e-17 2.36026250328964393e-14 -1.39221430289711799e-13 5.69967158358827065e-28 6.65596686911060096e+04
11.25 -2.16920991433892772e-16 2.09136353272875330e-14 4.83733032507640307e-13 5.42311991603649939e-28 1.15251356645492851e+04
11.5 -4.32914628451307603e-16 1.24546833801505045e-14 9.32752326122763959e-13 5.58921264800326492e-28 2.98226417073586299e+03
11.75 -5.16059454036146226e-16 2.87737355215951290e-17 1.07771645909856744e-12 5.56166595416031314e-28 2.08836027515073374e+03
12 -4.15432400208354179e-16 -1.17071162792695415e-14 8.89855699215789207e-13 5.06731460540636529e-28 2.93614256342346425e+03
