shift 4.0 endpoint_amplitude 3.02634170283827613e-18
x scaled_L scaled_Lprime scaled_Lsecond q physical_L
0 3.82084421807125318e+00 6.23635666965639925e-16 -9.03914713974773321e+01 2.36574605606680777e+01 3.82084421807125318e+00
0.25 5.03130960047444731e+00 -2.85986145813728143e+01 5.72087243212551684e+01 2.09387830656445466e+01 1.85091536418305247e+00
0.5 1.82998056155321320e+00 -1.85185709651525947e+01 1.61583423026583944e+02 1.41073042008790619e+01 2.47660937615299670e-01
0.75 2.76353964270256880e-01 -3.50821363705859568e+00 4.26675849749346625e+01 6.75915201187942571e+00 1.37588537128535086e-02
1 2.69253788646909888e-02 -3.70106064536980028e-01 5.02738527713982819e+00 2.22661944830891612e+00 4.93155516228035583e-04
1.25 2.24803542064626067e-03 -3.15839855937043931e-02 4.42523535500921217e-01 5.42094629336097089e-01 1.51471435163813072e-05
1.5 1.80308933515755727e-04 -2.54562811012795393e-03 3.59195896597461276e-02 1.10717502141024549e-01 4.46941161424569210e-07
1.75 1.43391950852918839e-05 -2.02636641718392823e-04 2.86329317436151204e-03 2.08603709722367005e-02 1.30756533988456226e-08
2 1.13846728838564067e-06 -1.60912906779918887e-05 2.27432714094835523e-04 3.80398761676295711e-03 3.81913228342893821e-10
2.25 9.03619391340476780e-08 -1.27723217164611583e-06 1.80531365564942395e-05 6.85045857507025251e-04 1.11515492054252862e-11
2.5 7.17177905105244043e-09 -1.01370998115015965e-07 1.43284851217999648e-06 1.22794250573682209e-04 3.25598265189841055e-13
2.75 5.69198894222890593e-10 -8.04546818137632689e-09 1.13720442073594382e-07 2.58612254080789228e-05 9.50658962144940786e-15
3 4.51752465363315935e-11 -6.38540134764882939e-10 9.02557937873831744e-09 3.57769886051778846e-04 2.77566307833176011e-16
3.25 3.58539354867553032e-12 -5.06785276989387204e-11 7.16324534081925888e-10 6.07269410879513480e-04 8.10417047367145928e-18
3.5 2.84502513346474950e-13 -4.02198682821923114e-12 5.68533857664874487e-11 1.78758773577711895e-02 2.36572010504740049e-19
3.75 2.24997700737901082e-14 -3.19269308886066401e-13 4.51196023687599909e-12 8.19421556625795633e-01 6.88273187632992977e-21
4 1.84711235243111797e-15 -2.53391121526748377e-14 3.57278167870493571e-13 -5.23541431773430599e+00 2.07865111306937580e-22
4.25 1.90624851949983343e-16 -1.95224618829971091e-15 2.58038977644626239e-14 -3.04806006278988768e+01 7.89175014725574185e-24
4.5 1.83201148732074210e-16 -1.14210052656265503e-15 3.32388843505279998e-15 2.07210457882102901e+01 2.79014978439757585e-24
4.75 3.78415772702903804e-17 -2.70631110614160380e-16 1.71386204466319133e-15 5.85617531777402611e+00 2.12018654320774187e-25
5 1.61862035996310108e-17 -5.27890334046337361e-17 -1.83082059300824181e-16 2.19474620756652676e+01 3.33622521829074817e-26
5.25 8.13725190468489444e-18 1.55266549566745449e-16 -6.87101274203536083e-16 4.48521883563686572e+02 6.17012042844144707e-27
5.5 4.66337294185316615e-17 -1.85148419018192099e-16 -2.52142259980184897e-15 6.98316764448467069e+01 1.30083300264476986e-26
5.75 -2.38840524281625647e-16 2.05286151370269785e-15 -7.58756934849398690e-15 4.21076332988710860e+01 -2.45095271135061487e-26
6 -2.22478107839773548e-17 2.34190490316590023e-16 -1.65068924361697847e-15 3.66105900405388667e+01 -8.39884790251779536e-28
6.25 -2.69577675631028730e-16 -7.08418158119801819e-16 1.24782070952628368e-14 5.31937444702371565e+01 -3.74387962641120648e-27
6.5 -1.17620513447945290e-16 5.44707951550340946e-16 -2.23397211916043852e-15 2.45369155252848170e+00 -6.00933674732072094e-28
6.75 7.17791393895423791e-18 -2.21546439519919044e-16 6.28460660044727861e-15 7.71015287559502269e+01 1.34910960909020488e-29
7 7.08950082627552569e-17 -8.28928666657520007e-16 2.27808609508904881e-15 1.04577619259327321e+02 4.90196452713521523e-29
7.25 3.82129268355601279e-17 -2.37819291913152485e-16 -5.33112179274171863e-15 1.78243275920776341e+02 9.72009092773420422e-30
7.5 7.80836227042255544e-17 -9.39562763033585834e-16 3.78228380784510861e-15 9.63488175756331771e+01 7.30677101307311191e-30
7.75 5.55170011904128471e-17 -7.17734302080424748e-16 1.21295746799834922e-15 1.45289682449391080e+02 1.91116005728896682e-30
8 7.81820841785583249e-18 -1.05999885673805856e-16 1.29379138946816163e-15 1.83371181553761389e+01 9.90110857010479112e-32
8.25 -8.17080935462264292e-17 6.95000351458517225e-16 -1.77788037077120811e-15 5.05913001271922411e+01 -3.80668704965326661e-31
8.5 1.92083456826809524e-17 -7.12891406302324184e-17 1.47889235554921184e-16 6.07499649970319577e+00 3.29213456215205092e-32
8.75 -2.96781596879963484e-17 2.21192699443041874e-16 -5.56502163381831353e-15 -1.31964455881176633e+02 -1.87124262059104512e-32
9 -1.94990336804017238e-16 1.59682449796255762e-15 4.09880352638940850e-15 8.80843526089084037e+01 -4.52284537893800940e-32
9.25 -3.19530991612982741e-17 -5.01204932187434513e-16 1.01249382921272576e-14 5.62908162531735911e+02 -2.72657316933480929e-33
9.5 2.47258146203416222e-16 -5.47212981317311851e-16 -1.13679118998196477e-14 5.08738028326886180e+01 7.76176154848149818e-33
9.75 9.36609087315453500e-17 -1.12031585374899458e-15 4.55286342628828299e-15 9.44650853499326644e+01 1.08161717028025725e-33
10 3.48081743828209898e-17 3.39953380923646582e-16 -5.80247613127718580e-15 2.62082818151856998e+02 1.47877455758189231e-34
10.25 -7.79887926602742202e-17 8.24149670573184609e-17 -2.03499763982040020e-15 -2.49767335652577636e+01 -1.21887295016481874e-34
10.5 2.89527237539963444e-16 -1.55850517274449919e-15 -6.97206161472769117e-15 5.30567960277804005e+01 1.66464329835542996e-34
10.75 -7.56041662957087161e-16 -3.12467615178912975e-16 2.81915785748329492e-14 3.74592049718776110e+01 -1.59912718703250978e-34
11 -2.08718493847035659e-17 -8.09263738115512347e-16 6.54339335010319602e-16 1.53469408129912199e+03 -1.62406620179405502e-36
11.25 -2.41852176501972801e-16 -6.61537891650977981e-16 3.67669498323929615e-14 1.59504264060166065e+02 -6.92306348983208615e-36
11.5 -1.49259540222008569e-17 3.04504838759268992e-15 -1.21804442285997802e-14 4.08041453162408943e+04 -1.57179510504238480e-37
11.75 3.92662472306333615e-16 1.47030714859195324e-15 -3.13338732472498343e-14 9.38194391218216879e+01 1.52117348658918465e-36
